,f_ml,f_v1,ml,v1
1,0.202027829,-0.121287753,0.255,-0.06
2,0.199167064,-0.124544386,0.27,-0.04
3,0.199014423,-0.126161511,0.275,-0.02
4,0.200099103,-0.123894293,0.235,-0.03
5,0.19951919,-0.116348791,0.235,-0.055
6,0.193952016,-0.103405475,0.225,-0.075
7,0.180873914,-0.086236484,0.23,-0.055
8,0.159554368,-0.066922289,0.205,-0.005
9,0.131458688,-0.047800943,0.195,0.035
10,0.099894829,-0.030764615,0.15,0.04
11,0.069004019,-0.016728368,0.12,0.045
12,0.042428948,-0.005433542,0.095,0.075
13,0.022114359,0.004365047,0.095,0.1
14,0.007658973,0.014404223,0.085,0.09
15,-0.003544598,0.026282363,0.065,0.09
16,-0.01541217,0.040903332,0.025,0.115
17,-0.031802486,0.058170835,0,0.11
18,-0.05513701,0.077020468,-0.02,0.15
19,-0.08546813,0.095762813,-0.03,0.175
20,-0.120311903,0.112610722,-0.035,0.21
21,-0.155307501,0.12621011,-0.06,0.235
22,-0.18549095,0.136002025,-0.09,0.22
23,-0.206768631,0.142308833,-0.13,0.205
24,-0.217113844,0.146134809,-0.13,0.2
25,-0.21710713,0.148766873,-0.13,0.215
26,-0.209662857,0.151322663,-0.125,0.235
27,-0.199054362,0.154401304,-0.125,0.245
28,-0.189576063,0.157947145,-0.135,0.24
29,-0.184288369,0.161356401,-0.13,0.235
30,-0.18424672,0.163770778,-0.14,0.235
31,-0.188438731,0.164440671,-0.12,0.26
32,-0.194406913,0.163023912,-0.125,0.265
33,-0.199304546,0.159717777,-0.13,0.255
34,-0.200996675,0.155188516,-0.18,0.255
35,-0.198820356,0.150338465,-0.195,0.235
36,-0.193753208,0.146008113,-0.18,0.23
37,-0.187956556,0.142729024,-0.15,0.23
38,-0.183881567,0.140617864,-0.145,0.245
39,-0.183276631,0.139442863,-0.155,0.25
40,-0.18646173,0.138824721,-0.16,0.245
41,-0.192133996,0.138480682,-0.18,0.245
42,-0.197776272,0.138403374,-0.19,0.25
43,-0.200526057,0.138891677,-0.185,0.245
44,-0.198200422,0.140409903,-0.16,0.245
45,-0.190118507,0.143322084,-0.145,0.25
46,-0.177433666,0.147603593,-0.14,0.255
47,-0.162855856,0.15265125,-0.165,0.25
48,-0.14985211,0.157286766,-0.15,0.25
49,-0.141587572,0.159984617,-0.13,0.27
50,-0.139953184,0.159275475,-0.12,0.3
51,-0.144992587,0.154208166,-0.11,0.3
52,-0.154904392,0.144721269,-0.125,0.285
53,-0.166605103,0.131792788,-0.155,0.23
54,-0.17665796,0.117298999,-0.175,0.19
55,-0.182263093,0.103602313,-0.165,0.195
56,-0.181998311,0.092974281,-0.145,0.23
57,-0.176095164,0.087015556,-0.145,0.235
58,-0.16619544,0.086240916,-0.165,0.235
59,-0.154702709,0.089951796,-0.165,0.22
60,-0.143965393,0.096434919,-0.145,0.21
61,-0.13556445,0.1034298,-0.11,0.215
62,-0.129923213,0.108729765,-0.105,0.245
63,-0.126333409,0.110744508,-0.11,0.25
64,-0.123345944,0.108867546,-0.115,0.25
65,-0.119357985,0.103553316,-0.135,0.225
66,-0.113177049,0.096096134,-0.115,0.22
67,-0.104370799,0.088189643,-0.11,0.23
68,-0.093303068,0.08140488,-0.095,0.25
69,-0.080875998,0.076741248,-0.09,0.26
70,-0.06810173,0.074374956,-0.075,0.235
71,-0.055679521,0.073665212,-0.075,0.2
72,-0.04374016,0.073400618,-0.065,0.185
73,-0.031847916,0.07220017,-0.04,0.215
74,-0.01924955,0.0689441,-0.025,0.245
75,-0.005267232,0.063108251,-0.015,0.27
76,0.010319865,0.054909331,-0.025,0.24
77,0.027055427,0.045224899,-0.015,0.21
78,0.043839056,0.035313955,0.01,0.175
79,0.059214818,0.026414771,0.055,0.18
80,0.071828798,0.019324358,0.075,0.2
81,0.080911097,0.01406448,0.065,0.205
82,0.08662837,0.009715612,0.04,0.205
83,0.090193533,0.004460807,0.03,0.17
84,0.093694242,-0.00416363,0.045,0.17
85,0.099685722,-0.018855324,0.075,0.155
86,0.110660061,-0.042046819,0.085,0.155
87,0.12853425,-0.075413651,0.105,0.125
88,0.154287086,-0.119484605,0.13,0.085
89,0.187827908,-0.173435556,0.16,0.01
90,0.228114851,-0.235120172,0.195,-0.07
91,0.27347696,-0.301350601,0.235,-0.135
92,0.322049536,-0.368393955,0.275,-0.16
93,0.372214405,-0.432603359,0.32,-0.215
94,0.422946317,-0.491065423,0.37,-0.29
95,0.47399651,-0.542129489,0.45,-0.35
96,0.525884243,-0.585695739,0.495,-0.4
97,0.579707221,-0.623181231,0.565,-0.435
98,0.63681507,-0.657149394,0.645,-0.45
99,0.698412766,-0.690665821,0.7,-0.5
100,0.765171807,-0.726512349,0.74,-0.54
101,0.836925483,-0.766433302,0.805,-0.58
102,0.91251085,-0.810588732,0.9,-0.62
103,0.989794391,-0.857346163,1.01,-0.66
104,1.065883419,-0.90346394,1.11,-0.695
105,1.137486386,-0.944625581,1.175,-0.735
106,1.201351262,-0.976200756,1.235,-0.785
107,1.254691661,-0.994057951,1.3,-0.81
108,1.295513602,-0.995250417,1.35,-0.825
109,1.32278352,-0.978440784,1.375,-0.795
110,1.336424548,-0.944006626,1.37,-0.72
111,1.337179194,-0.893855212,1.33,-0.66
112,1.326414534,-0.831044212,1.285,-0.6
113,1.305955158,-0.759336271,1.245,-0.565
114,1.278002573,-0.682801652,1.22,-0.48
115,1.245143842,-0.605532872,1.195,-0.385
116,1.210386289,-0.531468887,1.155,-0.3
117,1.177106262,-0.464270088,1.135,-0.24
118,1.148793425,-0.407161236,1.105,-0.175
119,1.128521124,-0.362678072,1.075,-0.15
120,1.118171623,-0.332308944,1.06,-0.125
121,1.117565205,-0.316095148,1.045,-0.085
122,1.123742909,-0.312314631,1.055,-0.075
123,1.130691003,-0.317396677,1.085,-0.085
124,1.129742642,-0.326185346,1.09,-0.07
125,1.110746529,-0.332589283,1.045,-0.085
126,1.063884071,-0.33054598,1.015,-0.105
127,0.981801934,-0.315122512,0.945,-0.09
128,0.861573776,-0.28350742,0.855,-0.045
129,0.705970683,-0.235645198,0.7,0
130,0.523631749,-0.174332965,0.46,0.07
131,0.327968686,-0.104723498,0.23,0.145
132,0.134953794,-0.033326931,0.02,0.225
133,-0.039756747,0.03326667,-0.115,0.285
134,-0.183711524,0.089647841,-0.225,0.35
135,-0.289877797,0.13253975,-0.295,0.38
136,-0.357646187,0.16123235,-0.355,0.4
137,-0.392394669,0.177426081,-0.415,0.41
138,-0.403752804,0.184564873,-0.445,0.425
139,-0.403043958,0.186862977,-0.465,0.445
140,-0.400587568,0.188293331,-0.48,0.465
141,-0.403556024,0.191791628,-0.485,0.47
142,-0.414898476,0.198847912,-0.5,0.47
143,-0.433522308,0.209534283,-0.5,0.455
144,-0.455558788,0.222891563,-0.505,0.465
145,-0.476241386,0.237506629,-0.505,0.475
146,-0.491780446,0.252079851,-0.505,0.515
147,-0.500664873,0.265813332,-0.525,0.55
148,-0.504038959,0.278530408,-0.565,0.56
149,-0.50511664,0.290535794,-0.59,0.57
150,-0.507904539,0.302310851,-0.585,0.56
151,-0.515711832,0.314183508,-0.59,0.57
152,-0.529967472,0.32610592,-0.59,0.59
153,-0.549736627,0.337621359,-0.61,0.605
154,-0.572076334,0.348025855,-0.625,0.63
155,-0.593082342,0.356657227,-0.65,0.63
156,-0.609250717,0.363199156,-0.655,0.65
157,-0.618682581,0.367884729,-0.665,0.65
158,-0.621725846,0.371521428,-0.66,0.645
159,-0.620847442,0.375322885,-0.675,0.645
160,-0.619793095,0.380599211,-0.685,0.65
161,-0.622329341,0.388404336,-0.71,0.675
162,-0.630995605,0.399250738,-0.71,0.69
163,-0.646280854,0.412976755,-0.715,0.695
164,-0.66648798,0.428799485,-0.725,0.715
165,-0.688313889,0.445526193,-0.73,0.745
166,-0.707935123,0.461849538,-0.765,0.755
167,-0.722227686,0.476632163,-0.78,0.75
168,-0.729717052,0.489099032,-0.79,0.765
169,-0.730957401,0.498894811,-0.78,0.775
170,-0.728239048,0.506013298,-0.78,0.79
171,-0.724749543,0.510648359,-0.805,0.83
172,-0.723489946,0.513036568,-0.82,0.82
173,-0.726315765,0.513354839,-0.815,0.8
174,-0.733412886,0.511706042,-0.79,0.8
175,-0.743357392,0.508184603,-0.78,0.785
176,-0.753703198,0.502978375,-0.795,0.795
177,-0.761864758,0.496446193,-0.825,0.79
178,-0.765973166,0.489118841,-0.835,0.79
179,-0.765410105,0.481601353,-0.84,0.775
180,-0.76085187,0.474395474,-0.835,0.76
181,-0.753836775,0.467697238,-0.825,0.765
182,-0.746038436,0.461242502,-0.81,0.76
183,-0.738525575,0.454265387,-0.8,0.76
184,-0.731283838,0.445602849,-0.795,0.75
185,-0.723171513,0.433933133,-0.795,0.725
186,-0.712318678,0.418091759,-0.775,0.695
187,-0.696817332,0.397380701,-0.76,0.685
188,-0.675446497,0.371784098,-0.735,0.69
189,-0.648166643,0.342028208,-0.705,0.665
190,-0.616203859,0.309466762,-0.685,0.63
191,-0.581693467,0.275821715,-0.645,0.565
192,-0.547010937,0.242848616,-0.635,0.53
193,-0.514028431,0.21201368,-0.595,0.51
194,-0.48355952,0.184261808,-0.555,0.51
195,-0.455185027,0.159924824,-0.52,0.5
196,-0.427515891,0.138777562,-0.51,0.465
197,-0.398793788,0.120209302,-0.48,0.43
198,-0.367612628,0.103451365,-0.455,0.395
199,-0.333504904,0.087794937,-0.4,0.39
200,-0.29718908,0.072746276,-0.355,0.405
201,-0.260397628,0.05809293,-0.33,0.41
202,-0.225355067,0.043884419,-0.31,0.38
203,-0.194097579,0.030354314,-0.305,0.355
204,-0.167877429,0.017821062,-0.285,0.345
205,-0.146859122,0.00660127,-0.245,0.325
206,-0.130204444,-0.003045074,-0.195,0.33
207,-0.116500785,-0.010935594,-0.185,0.34
208,-0.104363314,-0.016964803,-0.195,0.33
209,-0.092981365,-0.021099153,-0.195,0.29
210,-0.082403861,-0.023381234,-0.19,0.31
211,-0.07345838,-0.023946088,-0.16,0.31
212,-0.067336736,-0.023041187,-0.15,0.32
213,-0.065006223,-0.021034835,-0.16,0.32
214,-0.066673716,-0.018398637,-0.18,0.315
215,-0.07151455,-0.015658226,-0.19,0.305
216,-0.077784317,-0.013319052,-0.18,0.325
217,-0.083292799,-0.011785394,-0.17,0.32
218,-0.086084914,-0.011296026,-0.165,0.325
219,-0.085092359,-0.011896514,-0.16,0.32
220,-0.080521606,-0.013456899,-0.18,0.315
221,-0.073829559,-0.015728564,-0.195,0.305
222,-0.067278451,-0.018420989,-0.18,0.3
223,-0.063207637,-0.021272921,-0.17,0.31
224,-0.063260624,-0.024095693,-0.16,0.325
225,-0.067825275,-0.02677788,-0.17,0.32
226,-0.075876161,-0.029255875,-0.18,0.3
227,-0.085273705,-0.031468356,-0.19,0.275
228,-0.093421348,-0.033318757,-0.19,0.28
229,-0.09806214,-0.034666183,-0.21,0.295
230,-0.097951084,-0.035352943,-0.195,0.29
231,-0.093184422,-0.035260668,-0.2,0.31
232,-0.085085737,-0.034373163,-0.185,0.3
233,-0.075699918,-0.032818416,-0.185,0.295
234,-0.067077238,-0.03086735,-0.185,0.3
235,-0.060596131,-0.028881594,-0.17,0.29
236,-0.056552739,-0.027221762,-0.145,0.3
237,-0.054146367,-0.026144201,-0.14,0.29
238,-0.05184844,-0.025721463,-0.16,0.295
239,-0.048008589,-0.02581636,-0.165,0.305
240,-0.041472127,-0.026122392,-0.16,0.295
241,-0.03198571,-0.026260327,-0.13,0.315
242,-0.020250462,-0.025899694,-0.115,0.315
243,-0.007613938,-0.024863044,-0.115,0.305
244,0.004473752,-0.023174697,-0.12,0.28
245,0.015027046,-0.021033969,-0.09,0.28
246,0.023893569,-0.018719951,-0.07,0.29
247,0.031775598,-0.016461316,-0.06,0.315
248,0.039884938,-0.014320875,-0.05,0.33
249,0.049351198,-0.012143559,-0.05,0.335
250,0.060602593,-0.009597394,-0.08,0.32
251,0.072960345,-0.006304934,-0.075,0.31
252,0.084622562,-0.00202794,-0.045,0.31
253,0.093081779,0.003156911,-0.015,0.305
254,0.095866891,0.008759282,0.015,0.325
255,0.091378325,0.013903811,0.005,0.35
256,0.079538536,0.017499459,-0.005,0.35
257,0.062026896,0.018517007,-0.025,0.33
258,0.041995327,0.016301904,-0.015,0.31
259,0.023327491,0.010828941,0.015,0.32
260,0.009654768,0.002812465,0.025,0.31
261,0.003425801,-0.006378895,0.035,0.315
262,0.005314275,-0.014999752,0.015,0.3
263,0.014144555,-0.021336705,0,0.275
264,0.027350919,-0.024143613,0.01,0.28
265,0.041817095,-0.022983437,0.025,0.285
266,0.054824365,-0.018375828,0.03,0.31
267,0.064807452,-0.011699339,0.03,0.305
268,0.071686841,-0.004863723,0.03,0.305
269,0.076690387,0.000167631,0.03,0.29
270,0.081747449,0.001881445,0.02,0.3
271,0.088678549,-0.00038874,0.055,0.31
272,0.098466335,-0.00627843,0.06,0.315
273,0.110859441,-0.014468958,0.05,0.305
274,0.124442225,-0.023003279,0.05,0.275
275,0.13714127,-0.029755739,0.06,0.265
276,0.146989025,-0.032932629,0.08,0.26
277,0.152876939,-0.03147731,0.095,0.285
278,0.155034061,-0.025285405,0.115,0.3
279,0.155060478,-0.015191325,0.11,0.3
280,0.155495847,-0.002749923,0.085,0.295
281,0.15906012,0.010112207,0.09,0.305
282,0.16781329,0.021476199,0.115,0.305
283,0.18250688,0.029747518,0.14,0.325
284,0.202333938,0.033848161,0.175,0.36
285,0.225149924,0.033268657,0.16,0.35
286,0.248080307,0.02800734,0.15,0.34
287,0.268305657,0.018451236,0.165,0.325
288,0.283763496,0.005256141,0.235,0.29
289,0.293544957,-0.01073538,0.27,0.285
290,0.297878276,-0.028530682,0.26,0.275
291,0.297739745,-0.047001254,0.22,0.265
292,0.294263139,-0.064913684,0.205,0.25
293,0.288184826,-0.081012151,0.215,0.215
294,0.279540515,-0.094163488,0.235,0.185
295,0.267728721,-0.103542257,0.23,0.19
296,0.251911991,-0.108803783,0.2,0.195
297,0.231592309,-0.110181074,0.16,0.205
298,0.207121768,-0.108454346,0.12,0.21
299,0.179923287,-0.104777664,0.075,0.19
300,0.152296811,-0.10039498,0.08,0.18
301,0.126840254,-0.096320861,0.105,0.185
302,0.105666764,-0.093082687,0.095,0.2
303,0.089694205,-0.090610701,0.07,0.21
304,0.078280625,-0.088320294,0.015,0.2
305,0.069375605,-0.085369175,-0.01,0.19
306,0.060182796,-0.081010671,-0.015,0.2
307,0.048142169,-0.074925267,-0.005,0.21
308,0.031908156,-0.067411467,-0.005,0.215
309,0.01197347,-0.059357777,-0.025,0.21
310,-0.00931467,-0.051989453,-0.04,0.21
311,-0.028404146,-0.046463634,-0.055,0.2
312,-0.041680227,-0.043447125,-0.06,0.2
313,-0.046738543,-0.042829116,-0.05,0.205
314,-0.043350416,-0.043686387,-0.045,0.21
315,-0.033754087,-0.044538685,-0.04,0.205
316,-0.02211205,-0.043831157,-0.05,0.205
317,-0.013254889,-0.040492803,-0.055,0.2
318,-0.011093741,-0.034377287,-0.055,0.205
319,-0.017233733,-0.026414626,-0.03,0.215
320,-0.030297238,-0.018387878,-0.02,0.22
321,-0.046260851,-0.012374315,-0.02,0.23
322,-0.059777725,-0.010015714,-0.04,0.22
323,-0.066100263,-0.011863468,-0.05,0.2
324,-0.062957781,-0.017048147,-0.025,0.21
325,-0.051679627,-0.023439967,-0.02,0.21
326,-0.037029584,-0.02831532,-0.005,0.225
327,-0.025599583,-0.029369132,-0.01,0.225
328,-0.023094993,-0.025770208,-0.015,0.22
329,-0.031280732,-0.018898656,-0.02,0.2
330,-0.045597922,-0.012459799,-0.015,0.205
331,-0.054403945,-0.011832134,-0.005,0.22
332,-0.040418167,-0.0227362,0.015,0.245
333,0.015647143,-0.049539639,0.05,0.23
334,0.129964728,-0.093667933,0.155,0.195
335,0.310218957,-0.152614235,0.285,0.125
336,0.551462206,-0.219915421,0.455,0.05
337,0.834518309,-0.286210981,0.695,-0.01
338,1.127694259,-0.341193234,0.965,-0.03
339,1.391741411,-0.375981502,1.235,-0.065
340,1.587138173,-0.385295275,1.485,-0.105
341,1.682088765,-0.368817798,1.705,-0.125
342,1.659346744,-0.331337637,1.715,-0.095
343,1.520175326,-0.281583105,1.515,-0.015
344,1.284412985,-0.230032029,1.175,0.07
345,0.986558098,-0.186279392,0.83,0.13
346,0.668771547,-0.156686042,0.495,0.15
347,0.372456535,-0.142965019,0.255,0.11
348,0.130404923,-0.142101342,0.095,0.075
349,-0.03868831,-0.147618332,-0.005,0.075
350,-0.132190563,-0.151809996,-0.09,0.09
351,-0.161753849,-0.148272157,-0.17,0.135
352,-0.148521049,-0.133973139,-0.22,0.155
353,-0.11675787,-0.110239191,-0.2,0.16
354,-0.087645881,-0.082353627,-0.165,0.165
355,-0.074783976,-0.057886936,-0.14,0.165
356,-0.082353114,-0.044262457,-0.13,0.16
357,-0.106090382,-0.046300624,-0.145,0.175
358,-0.136434396,-0.064499932,-0.16,0.175
359,-0.162665906,-0.094597432,-0.165,0.15
360,-0.176712588,-0.128568847,-0.18,0.12
361,-0.17553251,-0.156793163,-0.185,0.09
362,-0.161533788,-0.170750825,-0.175,0.07
363,-0.141143612,-0.16545742,-0.185,0.04
364,-0.122200851,-0.140907855,-0.16,0.035
365,-0.111148228,-0.102098533,-0.155,0.085
366,-0.110968943,-0.057618618,-0.15,0.165
367,-0.120483593,-0.017227758,-0.14,0.255
368,-0.135123008,0.010862845,-0.135,0.27
369,-0.148794139,0.022206761,-0.16,0.245
370,-0.156121042,0.017195594,-0.16,0.215
371,-0.154270018,0.000698688,-0.155,0.18
372,-0.143764228,-0.019588071,-0.145,0.155
373,-0.128076762,-0.035558123,-0.14,0.17
374,-0.112222559,-0.0411306,-0.12,0.18
375,-0.100900525,-0.0339749,-0.115,0.22
376,-0.096860781,-0.01602557,-0.12,0.22
377,-0.100056492,0.007329227,-0.12,0.21
378,-0.107836268,0.029093912,-0.125,0.21
379,-0.116054977,0.042945153,-0.125,0.24
380,-0.120662131,0.045226557,-0.105,0.255
381,-0.119176638,0.036047033,-0.075,0.235
382,-0.111520956,0.019165001,-0.09,0.2
383,-0.099936876,0.000725281,-0.11,0.19
384,-0.088045569,-0.012729933,-0.11,0.185
385,-0.079423056,-0.016339638,-0.085,0.21
386,-0.076229947,-0.00844377,-0.055,0.21
387,-0.078404099,0.008914573,-0.065,0.22
388,-0.0837109,0.030636026,-0.09,0.225
389,-0.088627243,0.050133523,-0.09,0.22
390,-0.089727316,0.061316855,-0.09,0.22
391,-0.085051682,0.060374383,-0.045,0.225
392,-0.074942605,0.046815396,-0.03,0.24
393,-0.062017975,0.023482492,-0.015,0.25
394,-0.050266396,-0.004429201,-0.02,0.21
395,-0.04356703,-0.031005213,-0.055,0.155
396,-0.044155218,-0.051370258,-0.045,0.115
397,-0.051590291,-0.063030086,-0.04,0.09
398,-0.062620438,-0.066409023,-0.02,0.11
399,-0.072035093,-0.064463792,-0.035,0.125
400,-0.074252657,-0.06154704,-0.05,0.125
401,-0.065129192,-0.061918085,-0.04,0.105
402,-0.043384049,-0.068386066,-0.005,0.085
403,-0.011154054,-0.081500746,0.06,0.09
404,0.026528472,-0.099508669,0.09,0.08
405,0.063182546,-0.119036838,0.105,0.06
406,0.092790871,-0.136237442,0.105,0.03
407,0.111563045,-0.147997719,0.12,0.005
408,0.118984798,-0.152825246,0.155,-0.005
409,0.117826295,-0.151151332,0.175,0.01
410,0.113127416,-0.14500326,0.175,0.03
411,0.110512877,-0.137207083,0.16,0.035
412,0.114402531,-0.130426017,0.165,0.025
413,0.126701837,-0.126371019,0.175,0.025
414,0.146380624,-0.125435069,0.195,0.005
415,0.170037785,-0.126836049,0.23,0.02
416,0.193213292,-0.129166398,0.25,0.035
417,0.211962211,-0.131106777,0.255,0.04
418,0.224131075,-0.132013581,0.255,0.04
419,0.229897884,-0.132150019,0.25,0.025
420,0.231408075,-0.132473512,0.265,0.005
421,0.231663968,-0.134065388,0.285,0.005
422,0.233090545,-0.137429656,0.3,0.015
423,0.236314197,-0.14194537,0.31,0.035
424,0.239614713,-0.145710641,0.3,0.01
425,0.239272387,-0.145881336,0.295,0.005
426,0.230715498,-0.139430625,0.265,0.025
427,0.210089136,-0.124098362,0.23,0.03
428,0.175712867,-0.099217452,0.21,0.055
429,0.128924745,-0.066127783,0.175,0.09
430,0.074011501,-0.028011702,0.12,0.135
431,0.017229021,0.010831351,0.075,0.175
432,-0.03478128,0.046069881,0.03,0.2
433,-0.076678608,0.07446162,-0.015,0.225
434,-0.105684534,0.094668096,-0.065,0.255
435,-0.122044419,0.107510581,-0.08,0.28
436,-0.128585148,0.115588686,-0.09,0.285
437,-0.12956441,0.122382651,-0.085,0.275
438,-0.129228988,0.1311223,-0.095,0.27
439,-0.130571716,0.14377756,-0.085,0.295
440,-0.13467887,0.160484096,-0.085,0.33
441,-0.140831538,0.179576643,-0.1,0.36
442,-0.14725001,0.198207446,-0.115,0.385
443,-0.152147819,0.213340644,-0.125,0.39
444,-0.154668999,0.222795021,-0.1,0.365
445,-0.155347884,0.22599475,-0.1,0.36
446,-0.15592721,0.224183774,-0.095,0.365
447,-0.15862272,0.22003299,-0.13,0.39
448,-0.165137019,0.216764587,-0.135,0.4
449,-0.175823255,0.217072605,-0.155,0.405
450,-0.189344702,0.222184521,-0.165,0.41
451,-0.202990017,0.231365417,-0.16,0.42
452,-0.213554606,0.242028691,-0.155,0.425
453,-0.218478586,0.250429334,-0.175,0.385
454,-0.216823193,0.252736426,-0.19,0.375
455,-0.209712456,0.246166096,-0.18,0.4
456,-0.200051715,0.229839061,-0.185,0.435
457,-0.191594349,0.205111481,-0.16,0.425
458,-0.187669487,0.175286217,-0.14,0.39
459,-0.190018216,0.144794051,-0.15,0.31
460,-0.198162353,0.11808546,-0.175,0.265
461,-0.20955265,0.098548948,-0.19,0.275
462,-0.220472096,0.087752276,-0.18,0.285
463,-0.227399232,0.08519787,-0.18,0.275
464,-0.228362407,0.088628524,-0.195,0.25
465,-0.223802552,0.09476261,-0.195,0.255
466,-0.216617878,0.100225871,-0.205,0.28
467,-0.211337975,0.102409794,-0.21,0.3
468,-0.212674172,0.100030455,-0.195,0.295
469,-0.223914343,0.093267748,-0.185,0.28
470,-0.245695929,0.083496648,-0.185,0.255
471,-0.275576194,0.072738061,-0.21,0.235
472,-0.308560711,0.063023342,-0.21,0.215
473,-0.338436538,0.055867866,-0.21,0.21
474,-0.359491881,0.051990844,-0.2,0.21
475,-0.36807878,0.051324582,-0.195,0.23
476,-0.363531249,0.053259703,-0.175,0.22
477,-0.3481683,0.057004533,-0.19,0.235
478,-0.326414263,0.061916281,-0.225,0.23
479,-0.303354337,0.067691092,-0.215,0.245
480,-0.283214984,0.074364985,-0.17,0.245
481,-0.268260908,0.08215302,-0.135,0.26
482,-0.258436405,0.091212754,-0.125,0.27
483,-0.251809687,0.101440752,-0.13,0.275
484,-0.245600497,0.112391552,-0.16,0.285
485,-0.237381256,0.123356164,-0.15,0.29
486,-0.226004345,0.133571882,-0.13,0.315
487,-0.211931953,0.142481228,-0.11,0.33
488,-0.196881492,0.149934551,-0.12,0.375
489,-0.182960621,0.15624698,-0.12,0.4
490,-0.171655615,0.162070571,-0.12,0.415
491,-0.163086427,0.168109592,-0.125,0.395
492,-0.155834353,0.174767682,-0.115,0.365
493,-0.14742446,0.181848751,-0.095,0.375
494,-0.135288628,0.188426492,-0.06,0.415
495,-0.1178421,0.19295077,-0.035,0.405
496,-0.095250306,0.193586805,-0.07,0.435
497,-0.069566885,0.188707138,-0.06,0.48
498,-0.044152691,0.177401301,-0.025,0.485
499,-0.022556651,0.159851808,0.005,0.43
500,-0.00725265,0.137454338,0.015,0.36
501,0.001299233,0.112627339,0,0.305
502,0.004895999,0.088342648,0.015,0.31
